age,marital,housing,contact,month,duration,pdays,previous,poutcome,y
30,2,0,1,11,79,-1,0,4,0
33,2,1,1,9,220,339,4,1,0
35,3,1,1,1,185,330,1,1,0
30,2,1,3,7,199,-1,0,4,0
59,2,1,3,9,226,-1,0,4,0
35,3,0,1,4,141,176,3,1,0
36,2,1,1,9,341,330,2,2,0
39,2,1,1,9,151,-1,0,4,0
41,2,1,3,9,57,-1,0,4,0
43,2,1,1,1,313,147,2,1,0
39,2,1,3,9,273,-1,0,4,0
43,2,1,1,1,113,-1,0,4,0
36,2,0,1,2,328,-1,0,4,0
20,3,0,1,1,261,-1,0,4,1
31,2,1,1,5,89,241,1,1,0
40,2,0,1,2,189,-1,0,4,0
56,2,0,1,2,239,-1,0,4,0
37,3,1,1,1,114,152,2,1,0
25,3,1,3,9,250,-1,0,4,0
31,2,0,1,6,148,152,1,2,0
38,1,1,1,10,96,-1,0,4,0
42,1,0,1,10,140,-1,0,4,0
44,3,0,3,7,109,-1,0,4,0
44,2,0,1,6,125,-1,0,4,0
26,2,0,1,5,169,-1,0,4,0
41,2,0,1,10,182,-1,0,4,0
55,2,1,3,9,247,-1,0,4,0
67,2,0,2,2,119,105,2,1,0
56,2,0,1,6,149,-1,0,4,0
53,2,0,1,2,74,-1,0,4,0
68,1,0,2,6,897,-1,0,4,1
31,2,0,1,2,81,-1,0,4,0
59,2,0,1,10,40,-1,0,4,0
32,3,1,1,2,958,-1,0,4,1
49,2,0,1,2,354,-1,0,4,1
42,1,1,3,9,150,-1,0,4,0
78,1,0,2,11,97,-1,0,4,1
32,2,1,1,10,132,-1,0,4,1
33,2,1,1,9,765,342,2,1,1
23,3,1,3,9,16,-1,0,4,0
38,3,1,3,10,609,101,3,1,0
36,3,0,1,2,106,-1,0,4,0
52,2,1,1,9,365,-1,0,4,0
32,2,1,1,9,205,-1,0,4,0
32,3,1,1,10,11,-1,0,4,0
34,3,1,3,9,105,-1,0,4,0
55,2,0,2,4,59,5,2,2,0
26,2,1,3,9,425,-1,0,4,0
32,3,1,1,4,204,-1,0,4,0
61,2,1,1,5,181,92,1,3,1
45,1,0,3,7,1018,-1,0,4,1
37,3,1,1,2,1740,-1,0,4,0
38,3,0,1,2,98,-1,0,4,0
34,2,1,1,7,441,56,1,2,1
53,2,1,1,6,272,-1,0,4,0
48,2,1,2,6,159,-1,0,4,0
57,2,0,2,4,140,-1,0,4,0
33,3,0,1,10,295,-1,0,4,0
36,3,1,3,9,314,-1,0,4,0
54,1,1,3,9,579,-1,0,4,0
41,2,0,2,6,554,-1,0,4,0
63,2,1,1,11,323,-1,0,4,0
48,2,0,1,2,227,-1,0,4,0
48,2,0,1,6,134,-1,0,4,0
56,2,0,1,11,223,-1,0,4,0
51,1,1,1,9,134,170,5,1,0
31,2,1,1,5,155,-1,0,4,0
29,2,1,1,6,130,-1,0,4,0
41,2,0,1,6,630,-1,0,4,0
32,3,0,1,10,164,-1,0,4,0
37,2,0,1,6,268,182,3,3,1
42,1,1,3,9,380,-1,0,4,0
31,3,1,3,9,154,-1,0,4,0
41,2,1,3,7,154,-1,0,4,0
56,2,1,3,9,221,-1,0,4,0
54,1,0,1,2,67,-1,0,4,0
41,1,1,1,9,367,297,1,2,0
40,3,0,1,2,87,-1,0,4,0
50,1,0,1,4,701,-1,0,4,0
40,2,1,1,10,204,196,1,1,0
27,1,1,1,6,652,-1,0,4,1
60,2,0,1,2,63,-1,0,4,0
28,3,1,1,9,150,-1,0,4,0
52,2,0,2,6,398,460,2,1,1
37,2,0,1,7,224,-1,0,4,1
51,2,1,3,9,406,-1,0,4,0
41,3,0,1,6,60,-1,0,4,0
35,3,1,3,9,521,-1,0,4,0
38,2,1,1,1,279,-1,0,4,0
34,2,1,3,9,203,-1,0,4,0
39,2,0,1,10,201,-1,0,4,0
34,2,1,3,7,372,-1,0,4,0
27,3,1,1,9,391,-1,0,4,1
32,3,0,1,2,165,-1,0,4,0
57,2,0,1,2,231,-1,0,4,0
41,3,0,1,6,291,-1,0,4,0
41,2,1,3,9,149,-1,0,4,0
30,3,0,1,11,233,137,20,1,0
36,1,0,1,4,473,182,1,3,0
31,3,0,1,4,736,-1,0,4,1
36,2,1,3,9,337,-1,0,4,0
38,3,1,1,9,553,367,7,1,0
49,2,0,2,10,345,-1,0,4,0
57,3,1,2,9,65,-1,0,4,0
34,3,0,3,2,9,-1,0,4,0
32,3,1,1,1,259,145,3,1,0
37,2,1,3,7,371,-1,0,4,0
33,2,1,1,4,280,-1,0,4,0
56,2,0,1,1,243,-1,0,4,1
27,2,1,1,6,435,-1,0,4,0
21,3,0,1,7,258,169,3,3,1
58,2,1,2,6,7,-1,0,4,0
32,2,1,1,6,317,-1,0,4,0
33,3,0,1,5,76,207,1,1,0
